Index;Fuel type;Body type;Engine;Gearbox;Doors;Seats;Emission;Service history
145;Diesel;Hatchback;2.0L;Manual;5;5;Euro 5;Null
146;Diesel;Hatchback;1.3L;Manual;5;5;Euro 5;Null
147;Petrol;Hatchback;1.4L;Manual;3;5;Euro 4;Null
148;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
149;Petrol;Hatchback;1.2L;Manual;5;5;Euro 4;Null
150;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Null
151;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
152;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
154;Petrol;Hatchback;1.3L;Automatic;5;5;Euro 6;Null
155;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
156;Petrol;Saloon;3.1L;Automatic;4;5;Euro 4;Null
157;Petrol;Hatchback;1.3L;Manual;5;5;Euro 4;Null
158;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
159;Petrol;Hatchback;1.2L;Manual;3;4;Euro 5;Full
160;Petrol;Hatchback;1.4L;Manual;3;5;Euro 4;Null
161;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
162;Petrol;SUV;3.7L;Automatic;5;5;Euro 3;Null
163;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 4;Null
164;Petrol;Saloon;1.8L;Manual;4;5;Euro 4;Null
165;Petrol;Hatchback;1.0L;Manual;3;5;Euro 6;Null
166;Petrol;Hatchback;1.3L;Automatic;5;5;Euro 6;Null
168;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
169;Diesel;MPV;2.0L;Manual;5;7;Euro 4;Null
170;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Null
171;Petrol;Hatchback;1.4L;Automatic;3;5;Euro 5;Null
172;Petrol;Hatchback;1.6L;Automatic;3;4;Euro 4;Null
173;Petrol;MPV;2.4L;Automatic;5;7;Null;
174;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Null
175;Petrol;Convertible;1.6L;Manual;2;4;Euro 4;Null
176;Petrol;Hatchback;1.0L;Manual;5;4;Euro 5;Null
177;Petrol;Hatchback;1.4L;Automatic;5;5;Euro 4;Full
178;Petrol;Hatchback;1.0L;Manual;5;5;Euro 3;Null
179;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
180;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
182;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
183;Diesel;Hatchback;1.6L;Manual;5;5;Euro 5;Null
184;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
185;Petrol;Hatchback;1.6L;Manual;3;4;Euro 4;Null
186;Diesel;Saloon;2.0L;Manual;4;5;Euro 5;Null
187;Petrol;Saloon;3.0L;Manual;4;5;Euro 4;Null
188;Petrol;Hatchback;1.0L;Manual;3;5;Euro 5;Null
189;Petrol;Coupe;2.0L;Automatic;2;5;Null;
190;Petrol;Hatchback;1.3L;Manual;3;5;Euro 4;Null
191;Petrol;Hatchback;1.4L;Manual;3;5;Euro 5;Null
192;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
193;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
194;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
196;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
197;Petrol;Hatchback;1.3L;Manual;3;5;Euro 5;Null
198;Petrol;Coupe;2.5L;Automatic;2;5;Euro 3;Null
199;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 4;Full
200;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
201;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Full
202;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
203;Petrol;Hatchback;1.3L;Manual;5;5;Euro 4;Null
204;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
205;Petrol;Estate;1.6L;Automatic;5;5;Euro 4;Null
206;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
207;Petrol;Hatchback;1.0L;Manual;3;5;Euro 6;Null
208;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
210;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
211;Petrol;Hatchback;1.3L;Manual;3;5;Euro 5;Full
212;Petrol;SUV;2.4L;Automatic;5;7;Euro 4;Full
213;Petrol;Hatchback;1.4L;Manual;3;4;Euro 5;Null
214;Petrol;Hatchback;1.3L;Manual;3;5;Euro 4;Full
215;Diesel;Estate;2.0L;Manual;5;5;Euro 5;Null
216;Diesel;Hatchback;2.0L;Manual;5;5;Euro 3;Null
217;Petrol;Hatchback;1.4L;Manual;3;3;Euro 5;Null
218;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
219;Petrol;Hatchback;1.2L;Manual;5;5;Euro 5;Null
220;Petrol;Hatchback;1.6L;Manual;3;5;Euro 5;Full
221;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
222;Petrol;SUV;1.6L;Manual;5;5;Euro 6;Null
224;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
225;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
226;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
227;Petrol;Hatchback;1.3L;Manual;3;5;Euro 3;Null
228;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
229;Petrol;Hatchback;1.6L;Manual;3;5;Euro 5;Full
230;Diesel;Saloon;1.9L;Automatic;4;5;Euro 3;Null
231;Petrol;MPV;1.8L;Manual;5;7;Euro 5;Full
232;Petrol;Hatchback;1.0L;Manual;3;5;Euro 5;Null
233;Petrol;Hatchback;1.4L;Manual;3;5;Euro 4;Full
234;Diesel;MPV;2.0L;Manual;5;5;Euro 4;Null
235;Petrol;Hatchback;1.8L;Manual;5;5;Euro 5;Null
236;Diesel;Hatchback;1.5L;Manual;5;5;Euro 6;Null
238;Petrol;Hatchback;1.3L;Automatic;5;5;Euro 6;Null
239;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
240;Petrol;Coupe;3.0L;Automatic;2;4;Euro 4;Null
241;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
242;Diesel;Saloon;2.2L;Automatic;4;5;Euro 5;Null
243;Petrol;Coupe;1.2L;Manual;3;5;Euro 6;Null
244;Petrol;Saloon;2.6L;Automatic;4;;Null;
245;Petrol;Saloon;2.0L;Automatic;4;5;Euro 4;Null
246;Petrol;Hatchback;1.4L;Manual;3;5;Euro 4;Null
247;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
248;Diesel;Hatchback;1.9L;Manual;5;5;Euro 4;Null
249;Petrol;Hatchback;1.0L;Manual;3;5;Euro 6;Null
250;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
